chunk,messages,tone,target
1,"[{""role"": ""user"", ""content"": ""How can I reset my password?""}]",friendly,"You can reset your password by clicking on 'Forgot Password' at the login screen and following the instructions."
1,"[{""role"": ""user"", ""content"": ""Where can I find my purchase history?""}]",friendly,"To see your purchase history, log into your account and navigate to the 'Order History' section under 'My Account'."
1,"[{""role"": ""user"", ""content"": ""Can I change my delivery address after placing an order?""}]",friendly,"If your order hasn't shipped yet, you can change the delivery address from your account settings."
1,"[{""role"": ""user"", ""content"": ""What payment methods do you accept?""}]",friendly,"We accept credit/debit cards, PayPal, and other major payment methods."
1,"[{""role"": ""user"", ""content"": ""How do I track my order?""}]",friendly,"Once your order is shipped, you will receive a tracking number via email which you can use to track your order."
1,"[{""role"": ""user"", ""content"": ""My order was damaged upon arrival, what should I do?""}]",friendly,"We're sorry to hear that! Please contact our support team for a replacement or refund."
1,"[{""role"": ""user"", ""content"": ""How do I return a product?""}]",friendly,"To return a product, please initiate a return through your account and follow the instructions provided."
1,"[{""role"": ""user"", ""content"": ""What is your refund policy?""}]",friendly,"We offer a full refund for returns made within 30 days of purchase, provided the item is in original condition."
1,"[{""role"": ""user"", ""content"": ""Can I cancel my subscription?""}]",friendly,"Yes, you can cancel your subscription at any time through your account settings."
1,"[{""role"": ""user"", ""content"": ""Do you offer gift cards?""}]",friendly,"Yes, we offer gift cards in various denominations which can be purchased on our website."
2,"[{""role"": ""user"", ""content"": ""What are your customer service hours?""}]",friendly,"Our customer service is available 24/7 to assist you with any inquiries."
2,"[{""role"": ""user"", ""content"": ""Do you have a mobile app?""}]",friendly,"Yes, we have a mobile app available for both iOS and Android."
2,"[{""role"": ""user"", ""content"": ""How long does shipping usually take?""}]",friendly,"Shipping typically takes between 3-5 business days, but this can vary depending on your location."
2,"[{""role"": ""user"", ""content"": ""What should I do if I forget my username?""}]",friendly,"If you forget your username, please click on 'Forgot Username' on the login page to retrieve it."
2,"[{""role"": ""user"", ""content"": ""Can I update my email address on my account?""}]",friendly,"Yes, you can update your email address by going to your account settings."
2,"[{""role"": ""user"", ""content"": ""How do I apply a promo code to my order?""}]",friendly,"You can apply a promo code during the checkout process under 'Promo Code' section."
2,"[{""role"": ""user"", ""content"": ""Is there a loyalty program?""}]",friendly,"Yes, we offer a loyalty program that gives you points for every purchase."
2,"[{""role"": ""user"", ""content"": ""Where can I find the user manual?""}]",friendly,"User manuals can be found on the product page under 'Manuals and Support'."
2,"[{""role"": ""user"", ""content"": ""How can I contact technical support?""}]",friendly,"Technical support can be reached via chat, email, or by calling our support line."
2,"[{""role"": ""user"", ""content"": ""What browsers are supported by your website?""}]",friendly,"Our website supports the latest versions of Chrome, Firefox, Safari, and Edge."
3,"[{""role"": ""user"", ""content"": ""Can I schedule a delivery time for my order?""}]",friendly,"We offer scheduled delivery in select areas, please check availability at checkout."
